,Age,Gender,Position,TotalYearsExperience,YearsExperienceGermany,Seniority,MainSkill,SecondarySkills,BrutSalary,BrutSalaryAndStocks,AnnualBrutLastYear,AnnualBrutAndStocksLastYear,VacationDays,Employment,ContractDuration,CompanySize,CompanyType,LossOfJobCorona,HoursIfShorterWeek,AdditionalMonetarySupport
288,34.0,Female,Software Engineer,9.0,3.0,Senior,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",78000.0,3000.0,65000.0,7000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
289,34.0,Male,Backend Developer,15.0,5.0,Senior,Elixir,"Javascript / Typescript, Ruby, SQL, Google Cloud, Kubernetes, Docker",70000.0,70000.0,65000.0,65000.0,30,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,250.0
290,29.0,Female,Software Engineer,5.0,4.0,Middle,"NodeJS, Typescript, AWS","Javascript / Typescript, Java / Scala, AWS",67000.0,5000.0,65000.0,4000.0,31,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
291,37.0,Male,Software Engineer,15.0,3.0,Senior,Scala,"Python, Java / Scala, Docker",85000.0,5000.0,100000.0,5000.0,30,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
292,44.0,Male,Software Engineer,22.0,3.0,Senior,Erlang,"Python, SQL, Docker",76000.0,5000.0,76000.0,5000.0,30,Full-time employee,Unlimited contract,51-100,Startup,No,13.566568047337277,250.0
293,30.0,Male,Frontend Developer,9.0,3.0,Middle,TypeScript,"Javascript / Typescript, Kubernetes",66000.0,0.0,64000.0,0.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
294,26.0,Male,Consultant,4.0,4.0,Middle,JavaScript,"Python, Javascript / Typescript",65000.0,70000.0,55000.0,55000.0,30,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,No,13.566568047337277,250.0
295,33.0,Diverse,Software Engineer,1.0,6.0,Middle,Scala,"Python, SQL, Kubernetes, Docker",130000.0,0.0,65000.0,5000.0,,Full-time employee,Unlimited contract,1000+,Product,No,13.566568047337277,250.0
296,46.0,Male,Software Engineer,14.0,14.0,Senior,JavaScript,"PHP, Javascript / Typescript, SQL, Google Cloud, Docker",80000.0,5000.0,63000.0,5000.0,30,Full-time employee,Unlimited contract,51-100,Product,Yes,20.0,250.0
297,33.0,Male,Software Engineer,14.0,4.0,Senior,PHP,"PHP, Java / Scala",68000.0,0.0,68000.0,0.0,,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,500.0
298,27.0,Male,Software Engineer,4.0,4.0,Junior,C#,.NET,46000.0,2000.0,43000.0,2000.0,30,Full-time employee,Unlimited contract,up to 10,Product,No,40.0,250.0
299,38.0,Male,Software Engineer,15.0,8.0,Senior,C#,.NET,56400.0,5000.0,56400.0,5000.0,30,Full-time employee,Unlimited contract,11-50,Product,No,13.566568047337277,250.0
300,32.0,Male,Backend Developer,11.0,3.5,Senior,PHP,"PHP, Javascript / Typescript, Java / Scala, Docker",81200.0,81200.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,1000+,Product,No,28.0,250.0
301,26.0,Male,Backend Developer,7.0,1.5,Senior,Java,,65000.0,5000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
302,29.0,Male,Software Engineer,12.0,3.0,Senior,Go,"PHP, Go",75000.0,75000.0,70000.0,70000.0,27,Full-time employee,Unlimited contract,101-1000,Product,No,0.0,1000.0
303,32.0,Male,Testautomation,8.0,2.0,Senior,"Java, JS","Javascript / Typescript, Java / Scala",60000.0,0.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,Yes,0.0,500.0
304,29.0,Male,Mobile Developer,5.0,2.0,Middle,Objective-C,Swift,55000.0,4000.0,55000.0,1800.0,24,Full-time employee,Unlimited contract,11-50,Product,No,13.566568047337277,250.0
305,33.0,Male,Software Engineer,10.0,3.0,Senior,Ruby,Elixir,75000.0,5000.0,70000.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
307,32.0,Male,QA Engineer,9.0,3.0,Senior,QA,Java / Scala,76000.0,0.0,65000.0,0.0,28,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
308,34.0,Male,Software Engineer,10.0,10.0,Senior,C++,Python,76000.0,12000.0,73000.0,8000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
309,31.0,Male,Data Scientist,2.5,0.0,Lead,Python,Python,20000.0,6500.0,17000.0,3500.0,30,Full-time employee,Unlimited contract,1000+,Bank,No,13.566568047337277,250.0
310,29.0,Male,Software Engineer,7.0,1.0,Senior,TypeScript,"Javascript / Typescript, AWS",80000.0,0.0,65000.0,5000.0,,Full-time employee,Unlimited contract,11-50,Startup,No,13.566568047337277,250.0
311,33.0,Male,Software Engineer,10.0,4.0,Senior,C#,Javascript / Typescript,78000.0,5000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,250.0
312,32.0,Male,Backend Developer,4.0,1.0,Senior,Ruby,"Python, SQL, Go, AWS, Kubernetes, Docker",65000.0,5000.0,65000.0,57000.0,28,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,250.0
313,29.0,Male,Backend Developer,8.0,1.5,Middle,Go,Python,65000.0,0.0,60000.0,0.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
314,28.0,Male,Software Engineer,5.0,6.0,Senior,C++,"Python, C/C++",67000.0,2000.0,44000.0,2500.0,20,Self-employed (freelancer),Unlimited contract,up to 10,Startup,Yes,13.566568047337277,250.0
315,32.56893542757417,Male,Support Engineer,9.199653679653679,2.0,Senior,,"Kubernetes, Docker",61000.0,5000.0,60000.0,5000.0,28,Full-time employee,Unlimited contract,,,No,13.566568047337277,100.0
316,25.0,Male,Data Scientist,2.0,2.0,Middle,Python,.NET,48000.0,5000.0,43200.0,48000.0,28,Full-time employee,Unlimited contract,11-50,Product,No,13.566568047337277,250.0
317,32.0,Male,SAP Developer,9.0,1.0,Senior,ABAP,SAP / ABAP,70800.0,5000.0,65000.0,5000.0,30,Full-time employee,Unlimited contract,1000+,Consulting / Agency,No,35.0,250.0
318,26.0,Male,Software Engineer,3.0,1.0,Middle,Python ,"Python, Java / Scala",48000.0,5000.0,65000.0,5000.0,27,Full-time employee,Unlimited contract,51-100,Consulting / Agency,No,13.566568047337277,250.0
